date, value,,,
1/1/86,8.25,8.25,8.25,8.5
1/2/86,7.94,7.88,7.88,7.94
1/3/86,7.5,7.44,7.44,7.44
1/4/86,6.94,6.88,6.88,6.94
1/5/86,7.13,7.13,7.19,7.38
1/6/86,7.03,6.88,6.88,6.94
1/7/86,6.56,6.56,6.56,6.69
1/8/86,5.94,5.81,5.75,5.88
1/9/86,6.13,6.13,6.13,6.31
1/10/86,5.94,5.94,5.94,6.05
1/11/86,6.38,6.13,6.06,6.13
1/12/86,6.75,6.44,6.31,6.31
1/1/87,6.2,6.25,6.23,6.25
1/2/87,6.47,6.44,6.44,6.56
1/3/87,6.58,6.69,6.69,6.81
1/4/87,6.81,7.13,7.38,7.81
1/5/87,7.25,7.38,7.63,8.06
1/6/87,7.06,7.19,7.38,7.75
1/7/87,6.75,7,7.25,7.69
1/8/87,7.13,7.19,7.44,7.94
1/9/87,7.75,8.38,8.5,9
1/10/87,7.13,7.63,7.63,8
1/11/87,8.19,8,8.06,8.31
1/12/87,7.13,7.44,7.5,7.88
1/1/88,6.81,6.94,7.02,7.38
1/2/88,6.81,6.81,6.94,7.25
1/3/88,6.8,6.91,7.13,7.56
1/4/88,7.13,7.31,7.56,8
1/5/88,7.63,7.75,8,8.5
1/6/88,7.81,7.94,8.06,8.38
1/7/88,8.13,8.44,8.69,8.88
1/8/88,8.38,8.56,8.94,9.19
1/9/88,8.31,8.63,8.75,8.94
1/10/88,8.38,8.63,8.63,8.75
1/11/88,9.56,9.31,9.31,9.38
1/12/88,9.19,9.31,9.44,9.63
1/1/89,9.25,9.38,9.5,9.75
1/2/89,10.06,10.31,10.5,10.75
1/3/89,10.06,10.31,10.69,11.06
1/4/89,9.88,9.94,9.94,10.13
1/5/89,9.69,9.56,9.5,9.5
1/6/89,9.44,9.31,9.13,9
1/7/89,8.69,8.56,8.38,8.25
1/8/89,9,9,9,8.94
1/9/89,9.13,9.19,9.13,9.06
1/10/89,8.75,8.69,8.5,8.44
1/11/89,8.81,8.5,8.31,8.25
1/12/89,8.5,8.38,8.31,8.25
1/1/90,8.31,8.38,8.44,8.69
1/2/90,8.38,8.38,8.44,8.69
1/3/90,8.38,8.5,8.69,8.94
1/4/90,8.5,8.69,8.88,9.25
1/5/90,8.31,8.38,8.5,8.75
1/6/90,8.31,8.38,8.38,8.44
1/7/90,8,7.98,7.98,8
1/8/90,8.06,8.06,8.13,8.25
1/9/90,8.27,8.31,8.31,8.44
1/10/90,7.94,8.06,8.06,8.13
1/11/90,8.63,8.31,8.13,8
1/12/90,7.63,7.58,7.56,7.56
1/1/91,6.94,7.06,7.06,7.25
